speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
finf1	O		814	1589				
finf1	o		535	1297				
finf1	E		561	2031				
finf1	e		505	2114				
finf1	A		815	1267				
finf1	a		789	1432				
finf1	E		511	2088				
finf1	E		750	1898				
finf1	o		747	1307				
finf1	E		687	1923				
finf1	o		578	1307				
finf1	I		468	2424				
finf1	a		928	1654				
finf1	I		452	2717				
finf1	o		517	1289				
finf1	E		585	2083				
finf1	o		516	1215				
finf1	E		588	2015				
finf1	o		499	1284				
finf1	O		471	1008				
finf1	a		928	1455				
finf1	a		945	1609				
finf1	I		463	2426				
finf1	a		894	1527				
finf1	A		1049	1435				
finf1	e		781	2012				
finf1	a		936	1664				
finf1	A		993	1405				
finf1	i		523	2342				
finf1	A		1157	1604				
finf1	o		560	1049				
finf1	E		530	1891				
finf1	o		491	1455				
finf1	E		410	1953				
finf1	a		878	1500				
finf1	A		913	1335				
finf1	e		472	2131				
finf1	i		412	2450				
finf1	E		533	1881				
finf1	o		442	1575				
finf1	i		389	2800				
finf1	E		460	1837				
finf1	a		872	1581				
finf1	A		1183	1542				
finf1	e		586	1391				
finf1	I		396	2980				
finf1	a		946	1576				
finf1	E		437	2372				
finf1	e		562	2129				
finf1	E		412	2360				
finf1	A		528	1259				
finf1	o		478	1265				
finf1	o		558	1126				
finf1	O		390	1403				
finf1	o		508	1419				
finf1	a		894	1489				
finf1	O		517	1140				
finf1	e		480	1054				
finf1	A		701	1512				
finf1	o		533	1421				
