speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2__glide	F3_glide
finf6	A		1006.3057393735	1314.8456821302	3467.9622189481			
finf6	o		489.0614177024	1394.927609384	2241.9680296499			
finf6	a		801.5402110877	1427.2144909204	2840.9281089649			
finf6	E		612.6912902194	1913.4676058984	2880.3378756573			
finf6	a		1006.1709313461	1495.6383813259	3014.6324001356			
finf6	u		370.2437981197	1004.3027640705	2732.7763190393			
finf6	I		368.9241379779	2651.8042498863	3330.8731180155			
finf6	a		1076.4783276042	1486.336974218	3332.9709027585			
finf6	A		1022.5440829252	1198.5254434183	1526.788305456			
finf6	a		905.0302800996	1434.9786250018	3290.4169791721			
finf6	O		428.5064961386	911.6652212389	2800.7757071735			
finf6	a		1123.0949331466	1717.268661867	3205.6357037216			
finf6	i		384.0858116862	2718.1225061646	3617.4685596703			
finf6	A		1008.1782418804	1336.6995025417	3089.186464838			
finf6	e		816.1757197437	1905.4068513209	3145.0263637768			
finf6	i		386.1080208982	2789.5575289739	3453.6147077287			
finf6	O		772.6001467649	1302.2194400684	3058.3839780983			
finf6	e		474.9248347906	1706.5513995703	2786.6766732997			
finf6	E		440.3391063315	1838.9282908047	2651.962201118			
finf6	a		911.3280660349	1284.7895291662	2776.7953757181			
finf6	i		302.9222625839	2781.2742024722	3002.1370982326			
finf6	A		917.3463126795	1299.186289784	2863.555450958			
finf6	A		854.1468744527	1332.2997639311	2763.2344369651			
finf6	i		344.449395148	1590.3851334087	2901.0174265813			
finf6	i		383.874747516	2847.2374573366	3250.8620100971			
finf6	O		467.0319046797	1245.6676688011	2877.6526680994			
finf6	a		985.8468193304	1551.3555447212	3012.8442430789			
finf6	O		583.3644419493	1176.1769716256	2704.6938504452			
finf6	o		502.8795977659	1178.0306633889	2500.3523509387			
finf6	i		331.8927110959	2766.7542017389	3971.6038010204			
finf6	E		671.6509224734	1761.424350479	2849.4863541213			
finf6	o		473.6496458611	1295.9639088234	2757.9186460739			
finf6	O		430.3016662942	1101.0060319675	2639.2094442877			
finf6	i		284.0102506582	2711.7665018929	3295.1153851758			
