speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide
minf01	A		930.0230261791	1301.0687043137	2446.3335337515			
minf01	e		557.9450799179	1780.6745145478	2470.3900027062			
minf01	E		478.7673296084	2036.0990432311	2791.5873007597			
minf01	o		603.785611036	1083.7822101846	2444.5280854867			
minf01	a		791.1563865257	1314.5686429047	2186.3670709575			
minf01	E		402.9632753196	2060.2009724174	2739.1861306028			
minf01	i		313.8669824232	2179.7611350683	2922.9432020423			
minf01	I		304.1686278066	2198.5375797876	2886.0171050824			
minf01	e		625.4238257755	1924.7658121475	2487.4266615099			
minf01	o		632.0386929664	1070.7969083982	3462.2226058245			
minf01	e		497.881300072	1644.6664358851	2189.90352169			
minf01	E		486.5304409703	1754.8298018374	2182.839946698			
minf01	a		650.1506386799	1326.5379943803	2384.2754250093			
minf01	O		576.514685301	905.3630608828	2867.7391661947			
minf01	a		936.9005512065	1283.3876023302	3166.8136580148			
minf01	O		634.2448677108	992.0797662255	3219.6649483826			
minf01	a		811.6223968674	1316.9474043577	2756.8868298097			
minf01	u		425.0042542937	960.6864274598	2979.250925816			
minf01	O		656.4604915631	988.3607189428	3569.6816955008			
minf01	e		559.3844316985	1766.1221322247	2364.2495897522			
minf01	U		329.6947670165	1031.041362843	2984.8198646144			
minf01	o		553.5294650032	920.6726125193	2969.8371810832			
minf01	A		864.5158109037	1235.4467845092	3012.3396602892			
minf01	o		605.9160761183	1003.9853726014	2446.9519069728			
minf01	A		911.0344161177	1338.6557483782	3292.3841036314			
minf01	a		697.3903014972	1314.2546829625	2467.2495622431			
minf01	i		297.9149447651	2253.2090497855	2854.8374757134			
minf01	a		665.6991315715	1282.7108475463	2237.9429674466			
minf01	o		508.0160283919	995.1916273976	3301.0344929604			
minf01	A		885.9877303111	1274.8308996987	3135.6215644161			
minf01	e		545.8744896357	1836.8193249199	2394.1136392448			
minf01	A		827.5302631245	1152.1668789397	3031.9446045675			
minf01	a		870.4474364922	1304.4302019118	3008.4354645632			
minf01	i		295.9852535987	2207.3167998801	2967.4251833666			
minf01	E		521.3295241887	2070.1840882787	2504.3654872868			
minf01	e		629.7966458355	1682.3432375783	2150.7683983874			
minf01	A		949.1907962973	1340.0383901909	3097.0399283803			
minf01	o		521.229005724	889.3531901225	2883.1402955499			
minf01	E		575.5783995704	1917.2552753875	2673.9057558314			
minf01	e		563.5084812905	1906.4634230123	2558.1208501259			
minf01	u		229.8430264654	1112.4717106553	2411.7443051322			
minf01	U		374.989181299	1042.4545209807	3090.3634319151			
minf01	a		895.8435529877	1310.3076221569	3054.9046144327			
minf01	o		545.9384271792	855.6280522409	2891.7469468798			
minf01	A		900.1545283715	1302.4746859616	3211.0806778434			
minf01	o		575.9398592415	996.7956614225	2326.6748545104			
minf01	a		850.5818130711	1302.9320983654	3143.895089198			
minf01	E		575.742395568	1958.5640877635	2586.3734889987			
minf01	a		751.5347333369	1308.8311315499	2375.6350063544			
minf01	u		329.7781917949	1067.3905894916	2320.0792963633			
minf01	I		280.2049068682	2176.8901554135	2972.2476467513			
minf01	a		626.8256403639	1328.5141198121	2140.8053006467			
minf01	A		820.4285514834	1298.3356056026	3225.00585584			
minf01	a		763.6531241344	1314.5092014373	2608.8140644175			
minf01	a		925.0967357319	1316.9575786952	2596.7017719746			
minf01	O		502.3792447905	900.948280989	2693.3391916275			
minf01	a		801.6437366236	1342.3592132628	2317.9107915157			
minf01	i		310.2714730236	2228.5456168073	2835.3341134993			
minf01	A		970.7887960658	1259.8736661445	3149.9009693805			
minf01	e		591.9984032976	1985.641275023	2633.0706770425			
minf01	I		312.8297049218	2219.8812043982	2935.4529574956			
minf01	O		627.7062423418	992.5999034334	2752.3247913711			
