speaker_id	vowel_id	context	F1	F2	F3	F1_glide	F2_glide	F3_glide	
minf5	e		549	1875				
minf5	E		397	2069				
minf5	a		749	1265				
minf5	A		745	1208				
minf5	o		558	1139				
minf5	o		489	1055				
minf5	A		839	1206				
minf5	o		481	1391				
minf5	A		801	1217				
minf5	o		533	1078				
minf5	O		568	1093				
minf5	o		524	1092				
minf5	a		695	1236				
minf5	O		524	1317				
minf5	e		540	1594				
minf5	A		625	1286				
minf5	o		491	1236				
minf5	a		605	1191				
minf5	O		554	1085				
minf5	o		485	1112				
minf6	O		633	1080				
minf6	o		630	1164				
minf6	E		776	1815				
minf6	e		626	1866				
minf6	A		712	1269				
minf6	a		809	1377				
minf6	E		693	1757				
minf6	a		836	1391				
minf6	E		710	1467				
minf6	o		576	1300				
minf6	E		724	1389				
minf6	o		569	1303				
minf6	I		296	2282				
minf6	a		755	1310				
minf6	I		299	2493				
minf6	o		657	1259				
minf6	E		762	1892				
minf6	o		540	1410				
minf6	E		575	1890				
minf6	o		561	1236				
minf6	O		503	1185				
minf6	a		771	1266				
minf6	a		682	1288				
minf6	I		375	2295				
minf6	a		793	1450				
minf6	A		794	1309				
minf6	e		775	1839				
minf6	a		736	1402				
minf6	A		740	1371				
minf6	i		356	2295				
minf6	i		375	2612				
minf6	A		696	1242				
minf6	o		584	1051				
minf6	E		706	1736				
minf6	o		559	1290				
minf6	E		672	2060				
minf6	a		796	1293				
minf6	e		628	1880				
minf6	i		363	2399				
minf6	E		696	1805				
minf6	o		376	1313				
minf6	i		292	2166				
minf6	E		830	1853				
minf6	o		617	1346				
minf6	a		725	1363				
minf6	e		459	2118				
minf6	I		443	2114				
minf6	a		835	1368				
minf6	E		484	1913				
minf6	e		428	2044				
minf6	E		487	2245				
minf6	A		784	1278				
minf6	o		579	1141				
minf6	o		516	1205				
minf6	A		951	1515				
minf6	o		503	1318				
minf6	A		706	1375				
minf6	O		625	1098				
minf6	o		675	1201				
minf6	O		501	1248				
minf6	e		439	1926				
minf6	A		950	1440				
minf6	o		671	1369				
minf6	a		887	1362				
minf6	O		566	1172				
minf6	o		407	1401				
minf7	O		731	938				
minf7	o		627	1198				
minf7	E		759	1952				
minf7	e		528	1792				
minf7	A		875	1268				
minf7	a		755	1130				
minf7	E		764	1952				
minf7	a		687	1171				
minf7	E		652	1509				
minf7	o		662	1195				
minf7	E		656	1471				
minf7	o		468	1147				
minf7	I		266	2249				
minf7	a		1113	1227				
minf7	I		269	2281				
minf7	o		755	1199				
minf7	E		706	1890				
minf7	o		740	1132				
minf7	E		785	1939				
minf7	o		662	1194				
minf7	O		451	911				
minf7	a		826	1280				
minf7	a		833	1304				
minf7	I		327	2307				
minf7	a		882	1251				
minf7	A		921	1190				
minf7	i		322	2066				
minf7	e		689	1864				
minf7	a		967	1244				
minf7	A		919	1257				
minf7	i		349	2099				
minf7	A		885	1161				
minf7	o		635	1026				
minf7	E		593	1826				
minf7	o		520	1212				
minf8	O		800	981				
minf8	o		506	1101				
minf8	E		629	1820				
minf8	e		466	1703				
minf8	A		721	1192				
minf8	a		687	1324				
minf8	E		599	1748				
minf8	a		547	1414				
minf8	i		332	1532				
minf8	E		616	1515				
minf8	o		470	1253				
minf8	i		266	1539				
minf8	E		581	1503				
minf8	o		436	1152				
minf8	I		247	2159				
minf8	a		605	1418				
minf8	I		258	2132				
minf8	o		472	1202				
minf8	E		602	1701				
minf8	o		431	1261				
minf8	i		249	1589				
minf8	E		644	1761				
minf8	o		460	1300				
minf8	O		411	1041				
minf8	a		647	1203				
minf8	I		272	2081				
minf8	a		586	1399				
minf8	A		866	1266				
minf8	i		333	1710				
minf8	e		470	1666				
minf8	a		880	1389				
minf8	A		867	1448				
minf8	i		278	1480				
minf8	i		325	2136				
minf8	A		638	1209				
minf8	o		507	941				
minf8	E		733	1727				
minf8	o		434	1257				
minf8	E		472	1605				
minf8	a		662	1318				
minf8	A		831	1346				
minf8	e		523	1635				
minf8	i		289	2003				
minf8	E		616	1727				
minf8	o		435	1382				
minf8	E		653	1697				
minf8	o		523	1247				
minf8	a		730	1338				
minf8	A		722	1341				
minf8	I		306	1978				
minf8	a		637	1287				
minf8	E		397	2084				
minf8	e		714	1795				
minf8	E		385	2199				
minf8	a		621	1449				
minf8	A		628	1242				
minf8	o		476	1109				
minf8	o		426	1119				
minf8	A		862	1285				
minf8	o		766	1353				
minf8	A		778	918				
minf8	O		621	1016				
minf8	o		484	1195				
minf8	A		787	1295				
minf8	e		524	1617				
minf8	A		681	1221				
minf8	o		528	1186				
minf8	a		652	1180				
minf8	O		637	966				
minf8	o		642	1017				
minf8	O		673	1033				
minf8	e		579	1700				
minf8	E		544	1658				
minf8	o		568	1017				
minf8	O		666	1358					
finf2	O		937	1023				
finf2	o		670	1330				
finf2	E		1121	2080				
finf2	e		829	1906				
finf2	A		1016	1334				
finf2	a		953	1360				
finf2	E		936	1937				
finf2	a		923	1366				
finf2	i		365	2568				
finf2	E		890	1682				
finf2	o		697	1259				
finf2	i		341	2615				
finf2	E		860	1511				
finf2	o		704	1192				
finf2	I		286	2670				
finf2	a		939	1350				
finf2	I		364	2608				
finf2	o		683	1274				
finf2	E		981	1867				
finf2	o		783	1250				
finf2	i		395	2500				
finf2	E		1041	1912				
finf2	o		603	1313				
finf2	O		536	917				
finf2	a		975	1285				
finf2	a		1092	1315				
finf2	I		433	2717				
finf2	a		945	1347				
finf2	A		1019	1318				
finf2	e		902	1870				
finf2	a		1118	1347				
finf2	A		1079	1454				
finf2	i		421	2506				
finf2	A		1030	1267				
finf2	o		591	1176				
finf2	E		1042	1883				
finf2	o		573	1245				
finf2	E		976	1905				
finf2	a		927	1373				
finf2	A		1099	1454				
finf2	e		869	2066				
finf2	i		375	2565				
finf2	E		982	1656				
finf2	o		622	1259				
finf2	i		364	2426				
finf2	E		1040	1655				
finf2	o		739	1222				
finf2	a		936	1351				
finf2	A		939	1329				
finf2	e		748	1852				
finf2	I		457	2630				
finf2	a		977	1354				
finf2	E		485	2587				
finf2	e		915	1731				
finf2	E		444	2447				
finf2	a		1050	1310				
finf2	A		997	1314				
finf2	o		673	1122				
finf2	o		538	1021				
finf2	A		1067	1310				
finf2	o		680	1145				
finf2	o		459	1265				
finf2	A		989	1267				
finf2	o		677	1075				
finf2	O		706	1143				
finf2	o		884	1128				
finf2	a		953	1365				
finf2	O		531	1104				
finf2	e		972	1849				
finf2	A		938	1323				
finf2	o		563	1275				
finf2	a		965	1361				
finf2	O		750	1107				
finf2	o		576	1244				
finf3	O		670	1094				
finf3	o		605	1346				
finf3	E		920	2069				
finf3	e		517	2068				
finf3	A		1010	1562				
finf3	a		1103	1483				
finf3	E		833	2081				
finf3	a		1010	1732				
finf3	i		442	2939				
finf3	E		858	1864				
finf3	o		556	1246				
finf3	i		480	2797				
